player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Wayne Hennessey,GK,Wales,35,1987,1.9,68.0,61.0,67.0,1.0,0.0,0.0,68.0,0.0,0.0,,0.0,0.0,27.0,0.0
Weston McKennie,MF,United States,24,1998,3.0,177.0,7.0,19.0,98.0,61.0,8.0,177.0,1.0,2.0,50.0,2.0,3.0,131.0,15.0
William Carvalho,MF,Portugal,30,1992,2.4,182.0,5.0,52.0,109.0,22.0,1.0,182.0,0.0,0.0,,2.0,0.0,146.0,0.0
William Saliba,DF,France,21,2001,0.3,38.0,2.0,14.0,19.0,5.0,0.0,38.0,1.0,1.0,100.0,1.0,0.0,31.0,0.0
Wojciech Szczęsny,GK,Poland,32,1990,4.0,159.0,136.0,158.0,1.0,0.0,0.0,159.0,0.0,0.0,,0.0,0.0,56.0,0.0
Wout Weghorst,FW,Netherlands,30,1992,0.7,22.0,0.0,2.0,11.0,9.0,4.0,22.0,0.0,0.0,,1.0,0.0,14.0,1.0
Wéverton,GK,Brazil,35,1987,0.1,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,2.0,0.0
Xavi Simons,FW,Netherlands,19,2003,0.1,11.0,0.0,3.0,6.0,2.0,0.0,11.0,0.0,0.0,,0.0,0.0,9.0,0.0
Xherdan Shaqiri,FW,Switzerland,31,1991,2.5,111.0,0.0,8.0,43.0,60.0,5.0,111.0,0.0,3.0,0.0,1.0,5.0,94.0,15.0
Yahya Attiat Allah,DF,Morocco,27,1995,3.5,167.0,16.0,75.0,66.0,27.0,5.0,167.0,0.0,2.0,0.0,2.0,2.0,85.0,8.0
Yahya Jabrane,MF,Morocco,31,1991,0.2,,,,,,,,,,,,,,
Yann Sommer,GK,Switzerland,34,1988,3.0,126.0,99.0,126.0,0.0,0.0,0.0,126.0,0.0,0.0,,0.0,0.0,76.0,0.0
Yannick Carrasco,FW,Belgium,29,1993,1.3,68.0,3.0,16.0,27.0,25.0,6.0,68.0,1.0,3.0,33.3,2.0,2.0,45.0,6.0
